Term,es,nes,pval,sidak,fdr,geneset_size,leading_edge,term
Diseases Of Mitotic Cell Cycle R-HSA-9675126,-0.7689840136341433,-3.220805177911738,0.0012783101340707592,0.5962266847735574,0.45316094252808414,10,"CDC23,CCND1,TFDP1,CDK6,UBE2C,UBE2S,CCND3,E2F1",Diseases Of Mitotic Cell Cycle R-HSA-9675126
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,-0.7689840136341433,-3.220805177911738,0.0012783101340707592,0.5962266847735574,0.45316094252808414,10,"CDC23,CCND1,TFDP1,CDK6,UBE2C,UBE2S,CCND3,E2F1",Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139
Glycosaminoglycan Metabolism R-HSA-1630316,0.7597678812441484,2.981192015240647,0.0028712869737252955,0.8697983232820558,0.6785808214570781,11,"B4GALT3,SDC2,SLC35B2,ST3GAL6",Glycosaminoglycan Metabolism R-HSA-1630316
Phosphorylation Of APC/C R-HSA-176412,-0.7338648924715054,-2.750125229103678,0.0059572493048800634,0.9855393011347641,0.6903184290417912,8,"CDC23,UBE2C,CDK1,UBE2S,CCNB1,PLK1",Phosphorylation Of APC/C R-HSA-176412
Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,0.6915217220648655,2.6145485716468,0.008934545590545628,0.9982759185632892,0.6903184290417912,9,"RAD51B,BRCA1,EME1",Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568
Resolution Of D-Loop Structures R-HSA-5693537,0.6915217220648655,2.6145485716468,0.008934545590545628,0.9982759185632892,0.6903184290417912,9,"RAD51B,BRCA1,EME1",Resolution Of D-Loop Structures R-HSA-5693537
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,-0.6513549754563106,-2.587302744323406,0.009673056198882701,0.9989836954017297,0.6903184290417912,9,"CDC23,CDC20,UBE2C,CDK1,UBE2S,CCNB1",APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048
"Cell Cycle, Mitotic R-HSA-69278",-0.2582245509486053,-2.552017443406412,0.010710115652745822,0.9995164849769952,0.6903184290417912,163,"CENPM,UBE2C,SPC25,CDT1,KPNB1,RRM2,SMC4,CDK1,TMPO,TUBG1,TOP2A,TYMS,RFC2,TUBB,CDC20,GSK3B,PHLDA1,GTSE1,CDCA8,TUBB4B,DYNLL1,MCM7,PLK1,CCND1,AURKB,ZWINT,UBE2S,CDKN2D,GINS2,DBF4,RFC5,CENPK,POM121,RFC3,NUF2,CENPA,PSMD14,HDAC1,MCM10,PPP2CB,CCNB1,CKS1B,SPDL1,HSP90AA1,HMMR,CDC23,PSMD3,NCAPH,CENPN,RPA3,NCAPH2,NCAPD2,AURKA,E2F1,CDK6,CDC25B,BIRC5,CDCA5,RFC4,GMNN,PSMD8,ESPL1,MAD2L1,NCAPG,TFDP1,KIF23,TUBA1B,PSMB7,KIF2C,CENPF,CCND3,TPX2,UBE2I,RAN,TUBA1C,NUDC,MZT1","Cell Cycle, Mitotic R-HSA-69278"
Platelet Degranulation R-HSA-114608,-0.6052594344226991,-2.5238109310472714,0.01160903467785257,0.9997461975740604,0.6903184290417912,14,"CTSW,ACTN1,PFN1,OLA1,FAM3C,TAGLN2,ITGB3,CD63,ACTN4,CALM1,CAP1",Platelet Degranulation R-HSA-114608
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,-0.6052594344226991,-2.5238109310472714,0.01160903467785257,0.9997461975740604,0.6903184290417912,14,"CTSW,ACTN1,PFN1,OLA1,FAM3C,TAGLN2,ITGB3,CD63,ACTN4,CALM1,CAP1",Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005
Cell Cycle R-HSA-1640170,-0.20802222148970695,-2.492847428772221,0.012672328580507486,0.9998816773023039,0.6903184290417912,195,"CENPM,UBE2C,CHEK1,SPC25,CDT1,KPNB1,RRM2,SMC4,CDK1,TMPO,TUBG1,TOP2A,TYMS,HJURP,RFC2,TUBB,CDC20,GSK3B,PHLDA1,GTSE1,CDCA8,TUBB4B,DYNLL1,MCM7,PLK1,CCND1,AURKB,ZWINT,UBE2S,CDKN2D,RFC3,NUF2,CENPA,PSMD14,HDAC1,MCM10,PPP2CB,CCNB1,CKS1B,SPDL1,HSP90AA1,HMMR,CDC23,PSMD3,CENPW,NCAPH,CENPN,RPA3,NCAPH2,NCAPD2,AURKA,E2F1,CDK6,CDC25B,MND1,BIRC5,CDCA5,RFC4,GMNN,POLR2D,PSMD8,ESPL1,MAD2L1,NCAPG,TFDP1,KIF23,TUBA1B,PSMB7,KIF2C,CENPF,CCND3,TPX2,UBE2I,RAN,TUBA1C,NUDC,MZT1",Cell Cycle R-HSA-1640170
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,-0.8323459715639996,-2.4577154547895237,0.01398239106199739,0.9999538436260602,0.6903184290417912,5,"CCND1,TFDP1,CDK6,CCND3,E2F1",Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787
Uptake And Actions Of Bacterial Toxins R-HSA-5339562,-0.7627144383140294,-2.3925211667650323,0.016733062887517525,0.9999936313389277,0.6903184290417912,6,"FURIN,HSP90AA1,STX1A,CALM1,MAP2K3",Uptake And Actions Of Bacterial Toxins R-HSA-5339562
Translation R-HSA-72766,0.4723687349525055,2.380846164671332,0.017272923575321064,0.9999956853881805,0.6903184290417912,36,"ETF1,MRPL46,MRPL4,EIF4G1,MRPL9,MRPL43,ERAL1,MRPL15,EIF2S2,MRPS6,MRPS34,SEC61A1,RPN2,TRMT112",Translation R-HSA-72766
Signal Transduction R-HSA-162582,-0.18701741120950505,-2.3696391106695223,0.017805455487827526,0.9999970620800916,0.6903184290417912,279,"SH3BP1,CENPM,WWTR1,TRIB1,GNB1,EGR3,CHEK1,PRC1,SPC25,TGFA,SH2B3,CDK1,TMPO,CDC20,PHC2,RASA3,ACTN1,RHOC,GSK3B,DRAP1,FGFRL1,CDCA8,BCL2L1,SPRY2,CALM1,PPP1CA,ARHGDIA,DYNLL1,BCAP31,DUSP4,FOSL1,DUSP6,IER3,AP2S1,PLK1,ITGB3,CCND1,AURKB,ABHD17C,CTNNBIP1,PTPN12,ZWINT,ETV4,UCN2,CENPA,NUMB,SHB,PSMD14,HDAC1,F2R,PKN1,SPRY1,PPP2CB,RHEB,RNASEH2A,SPDL1,KPNA2,HSP90AA1,GRK6,IRAK1,TPM3,SPRED2,LEF1,LTBP3,RACGAP1,BCAR1,PSMD3,EPHA2,CENPN,VANGL1,CAMK4,KIF5B,SPATA13,E2F1,GNG12,HNRNPM,RBPJ,EFHD2,PAK4,BIRC5,WIPF1,POLR2D,PSMD8,MAD2L1,TRAF1,SH3KBP1,FURIN,ITGA3,TFDP1,PFN1,TUBA1B,SHC1,PSMB7,KIF2C,ARPC2,CENPF,CCND3,GTF2A2,MGLL,ECE1,SMURF2,ITPR3,NUDC",Signal Transduction R-HSA-162582
Transcriptional Regulation By VENTX R-HSA-8853884,-0.6583088099911448,-2.3600840277822646,0.018270796049689952,0.9999979004673428,0.6903184290417912,8,"CDC23,CCND1,LEF1,UBE2C,UBE2S",Transcriptional Regulation By VENTX R-HSA-8853884
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,0.786572215414544,2.347383154241647,0.01890580195990732,0.9999986729369702,0.6903184290417912,6,"SDC2,CSPG4",Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185
Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,-0.6058354739765979,-2.3338124479740525,0.01960554471600684,0.999999199797153,0.6903184290417912,9,"CDC23,CDC20,UBE2C,MAD2L1,UBE2S",Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430
Mitotic Anaphase R-HSA-68882,-0.2976047710422939,-2.32872106616434,0.019873847367275044,0.9999993409443065,0.6903184290417912,82,"CENPM,AURKB,UBE2C,ZWINT,UBE2S,PSMD14,PPP2CB,CCNB1,SPC25,BIRC5,CDCA5,KPNB1,SPDL1,PSMD8,ESPL1,CDK1,TMPO,MAD2L1,CENPK,TUBB,CDC23,CDC20,POM121,TUBA1B,PSMB7,KIF2C,CDCA8,PSMD3,CENPF,UBE2I,CENPN,TUBB4B,DYNLL1,NUF2,RAN,TUBA1C,CENPA,NUDC,PLK1",Mitotic Anaphase R-HSA-68882
Mitotic Metaphase And Anaphase R-HSA-2555396,-0.2976047710422939,-2.32872106616434,0.019873847367275044,0.9999993409443065,0.6903184290417912,82,"CENPM,AURKB,UBE2C,ZWINT,UBE2S,PSMD14,PPP2CB,CCNB1,SPC25,BIRC5,CDCA5,KPNB1,SPDL1,PSMD8,ESPL1,CDK1,TMPO,MAD2L1,CENPK,TUBB,CDC23,CDC20,POM121,TUBA1B,PSMB7,KIF2C,CDCA8,PSMD3,CENPF,UBE2I,CENPN,TUBB4B,DYNLL1,NUF2,RAN,TUBA1C,CENPA,NUDC,PLK1",Mitotic Metaphase And Anaphase R-HSA-2555396
Immune System R-HSA-168256,-0.15844750582822933,-2.3180488347939527,0.02044666715074417,0.9999995645749531,0.6903184290417912,196,"HNRNPA2B1,UBE2C,LRR1,KPNB1,SH2B3,ATOX1,GSTO1,PKM,TUBB,RNF126,CDC20,CD63,BCL2L1,CALM1,TCP1,TUBB4B,DYNLL1,IFNGR2,CANT1,DUSP4,STX1A,DUSP6,AP2S1,CCND1,RNF25,TSPAN14,MAPKAPK2,MCL1,PTPN12,HMGB1,UBE2S,TINAGL1,PSMD11,CAP1,FKBP1A,KEAP1,KIF4B,HIF1A,AURKAIP1,POM121,IL10,PSMD14,PKN1,IL19,PPP2CB,UBE2L3,MEX3C,RNASEH2A,ASB1,KPNA2,HSP90AA1,IRAK1,CDC23,LIF,RACGAP1,PLAUR,PSMD3,POLR3G,LRRFIP1,CTSL,COTL1,KIF5B,TMC6,CCNF,CDC34,KIF22,MAP2K3,BIRC5,WIPF1,TNFRSF12A,PSMD8,SH3KBP1,AP1S1,KIF23,SHC1,PSMB7,KIF2C,ARPC2,KCMF1,SMURF2,ITPR3",Immune System R-HSA-168256
Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,-0.7403905658639374,-2.2883384740842905,0.022117817605557866,0.9999998702366759,0.7098734670836245,6,"CDC23,CDC20,UBE2S,UBE2C",Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407
DNA Strand Elongation R-HSA-69190,-0.560604098591676,-2.271312290118651,0.02312807975789055,0.999999937644185,0.7098734670836245,14,"RFC4,GINS4,MCM4,RFC3,RPA3,MCM7,CDC45,MCM5,FEN1,GINS2,RFC5,RFC2",DNA Strand Elongation R-HSA-69190
Metabolism Of Carbohydrates R-HSA-71387,0.4568579032664638,2.2299641335973335,0.025749824065475657,0.9999999907236001,0.7098734670836245,35,"SDC2,GNPDA2,NUP43,SLC35B2,TPI1,B4GALT3,PPP2R5D,UBL4A,CSPG4,ST3GAL6",Metabolism Of Carbohydrates R-HSA-71387
Meiotic Synapsis R-HSA-1221632,0.6249106581576356,2.224582296278818,0.026109292203343237,0.9999999928591901,0.7098734670836245,9,"SMC1A,TERF2,LMNA,RAD21,BRCA1",Meiotic Synapsis R-HSA-1221632
M Phase R-HSA-68886,-0.2558822119094091,-2.2204752769850415,0.02638652210288761,0.99999999416443,0.7098734670836245,110,"CENPM,AURKB,UBE2C,ZWINT,UBE2S,PSMD14,PPP2CB,CCNB1,SPC25,BIRC5,CDCA5,KPNB1,SPDL1,PSMD8,SMC4,HSP90AA1,ESPL1,CDK1,TMPO,TUBG1,MAD2L1,NCAPG,TUBB,CDC23,CDC20,KIF23,TUBA1B,PSMB7,KIF2C,CDCA8,PSMD3,CENPF,NCAPH,UBE2I,CENPN,TUBB4B,DYNLL1,NUF2,NCAPH2,NCAPD2,RAN,TUBA1C,CENPA,NUDC,MZT1,PLK1",M Phase R-HSA-68886
NGF-stimulated Transcription R-HSA-9031628,-0.6767406854031492,-2.211037169850485,0.027033263203466662,0.9999999963568494,0.7098734670836245,7,"VGF,RNASEH2A,TRIB1,EGR3,FOSL1",NGF-stimulated Transcription R-HSA-9031628
RHOV GTPase Cycle R-HSA-9013424,-0.7588862559241867,-2.134008294496339,0.032842101853585604,0.9999999999478031,0.8119258886239513,5,"EPHA2,PKN1,VANGL1,TPM3,PAK4",RHOV GTPase Cycle R-HSA-9013424
Gene Expression (Transcription) R-HSA-74160,-0.16658044951134102,-2.1295359399522713,0.03320994466868066,0.9999999999601423,0.8119258886239513,174,"RBM8A,CCND1,WWTR1,AURKB,PHF19,CDK6,SRSF2,UBE2C,SRSF1,CHEK1,UBE2S,PPP2CB,CCNB1,RHEB,RBPJ,SSRP1,E2F1,BIRC5,DEK,RNASEH2A,RFC4,RRM2,TGFA,POLR2D,PSMD8,HSP90AA1,FANCI,CDK1,SNRPB,IRAK1,RFC2,CDC23,FURIN,PHC2,TFDP1,VDR,LEF1,GSK3B,ALYREF,KCTD15,PSMB7,NR2C2AP,PSMD3,CCND3,TPX2,GTF2A2,CALM1,POLR3G,SUV39H1,CTSL,UBE2I,PRELID1,RFC3,RPA3,HIVEP3,NUDT21,MAGOHB,RAN,CAMK4,CBX3,SMURF2,AURKA,DNMT1,PSMD14,HDAC1",Gene Expression (Transcription) R-HSA-74160
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.7369142209284073,2.103558553850367,0.035416972538001135,0.9999999999921153,0.8266841186131197,6,"ETF1,SMG9,EIF4G1",Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957
CDC42 GTPase Cycle R-HSA-9013148,-0.5397333935840567,-2.0952860932990145,0.036145567950644164,0.9999999999953856,0.8266841186131197,13,"WIPF1,ARHGDIA,PKN1,RACGAP1,VANGL1,TMPO,PAK4,SPATA13",CDC42 GTPase Cycle R-HSA-9013148
Transcriptional Regulation By MECP2 R-HSA-8986944,-0.6490846104136735,-2.071968341219838,0.03826839373285673,0.9999999999990334,0.8384686016464702,7,"AURKB,CAMK4,IRAK1,CALM1,HDAC1",Transcriptional Regulation By MECP2 R-HSA-8986944
Generic Transcription Pathway R-HSA-212436,-0.2226363982637398,-2.063750317067656,0.03904139589981015,0.9999999999994534,0.8384686016464702,127,"CCND1,WWTR1,AURKB,CDK6,UBE2C,CHEK1,UBE2S,PPP2CB,CCNB1,RHEB,RBPJ,SSRP1,E2F1,BIRC5,DEK,RNASEH2A,RFC4,RRM2,TGFA,POLR2D,PSMD8,FANCI,CDK1,IRAK1,RFC2,CDC23,FURIN,PHC2,TFDP1,VDR,LEF1,GSK3B,KCTD15,PSMB7,NR2C2AP,PSMD3,CCND3,TPX2,CALM1,CTSL,UBE2I,PRELID1,RFC3,RPA3,HIVEP3,CAMK4,CBX3,SMURF2,AURKA,PSMD14,HDAC1",Generic Transcription Pathway R-HSA-212436
