term.id,query.number,significant,p.value,term.size,query.size,overlap.size,recall,precision,term.id,domain,subgraph.number,term.name,relative.depth,intersection
GO:0022613,1,True,0.000303,436,526,33,0.063,0.076,GO:0022613,BP,28,   ribonucleoprotein complex biogenesis,1,"RPS5,RPS16,RPS19,RPL34,RPL24,RPS15,RPL5,RPS10,RPL27,RPL35,RPL13A,RPL11,RPS8,RPL10,EIF3H,RPL7A,RPL26,RPSA,RPS9,RPS21,RPS7,RPL38,RPS27,EIF3K,RPS27L,RPS23,RPL14,RPL12,RPL23A,RPL10A,RPS18,RPS28,GTF2H5"
GO:0042254,1,True,1.93e-06,281,526,29,0.055,0.103,GO:0042254,BP,28,    ribosome biogenesis,2,"RPS5,RPS16,RPS19,RPL34,RPL24,RPS15,RPL5,RPS10,RPL27,RPL35,RPL11,RPS8,RPL10,RPL7A,RPL26,RPSA,RPS9,RPS21,RPS7,RPL38,RPS27,RPS27L,RPL14,RPL12,RPL23A,RPL10A,RPS18,RPS28,GTF2H5"
GO:0042274,1,True,0.000159,72,526,13,0.025,0.181,GO:0042274,BP,28,    ribosomal small subunit biogenesis,2,"RPS5,RPS16,RPS19,RPS15,RPS10,RPS8,RPSA,RPS21,RPS7,RPL38,RPS27,RPS27L,RPS28"
GO:0042273,1,True,0.000934,70,526,12,0.023,0.171,GO:0042273,BP,28,    ribosomal large subunit biogenesis,2,"RPL24,RPL5,RPL35,RPL11,RPL10,RPL7A,RPL26,RPL38,RPL14,RPL12,RPL23A,RPL10A"
GO:0022618,1,True,0.0316,224,526,19,0.036,0.085,GO:0022618,BP,28,   ribonucleoprotein complex assembly,1,"RPS5,RPS19,RPL24,RPS15,RPL5,RPS10,RPL13A,RPL11,RPL10,EIF3H,RPSA,RPL38,RPS27,EIF3K,RPS27L,RPS23,RPL12,RPL23A,RPS28"
GO:0042255,1,True,1.93e-07,62,526,15,0.029,0.242,GO:0042255,BP,28,    ribosome assembly,2,"RPS5,RPS19,RPL24,RPS15,RPL5,RPS10,RPL11,RPL10,RPSA,RPL38,RPS27,RPS27L,RPL12,RPL23A,RPS28"
GO:0000027,1,True,0.033,30,526,7,0.013,0.233,GO:0000027,BP,28,    ribosomal large subunit assembly,2,"RPL24,RPL5,RPL11,RPL10,RPL38,RPL12,RPL23A"
GO:0000028,1,True,1.43e-06,19,526,9,0.017,0.474,GO:0000028,BP,28,    ribosomal small subunit assembly,2,"RPS5,RPS19,RPS15,RPS10,RPSA,RPL38,RPS27,RPS27L,RPS28"
GO:0006364,1,True,0.00446,196,526,19,0.036,0.097,GO:0006364,BP,28,   rRNA processing,1,"RPS16,RPS19,RPS15,RPL5,RPL27,RPL35,RPL11,RPS8,RPL7A,RPL26,RPSA,RPS9,RPS21,RPS7,RPS27,RPL14,RPL10A,RPS28,GTF2H5"
GO:0048519,1,True,0.026,5209,526,185,0.352,0.036,GO:0048519,BP,16,   negative regulation of biological process,1,"AP2B1,ATP1A2,PHPT1,RPL18,TSPAN32,WISP2,TP53INP2,MEF2C,RPS5,AAMDC,P2RX7,IGBP1,CAPN3,LGALS1,AVP,CST3,RENBP,GATA1,BMF,TUBB4A,URI1,RPS16,CLIP3,TGFB1,RPS19,CD33,PTPRS,RPL28,RPL19,VAT1,RPL34,CRYAB,RPS13,ING4,PHACTR1,RPS12,KAT2B,RPL24,RPS15,STAT1,CHMP3,RPL22,KDM5B,ID3,RPS25,RPL5,TWIST1,PLAU,PFDN5,MXD4,RPS10,SOX4,RUNX2,SOX9,RPL23,C3,CITED1,PRDX5,RRAS,MAP2K2,ATF4,VPS13C,RPL36,CHMP2A,RPL27,SYT11,TPT1,NOTCH2,RPS15A,ADAMTS8,GDF11,HTR2B,VILL,GPNMB,RPL35,NOV,TFAP2A,IRF4,RPLP1,CYP1B1,RBP4,WARS,TP53,IFITM3,RPS11,RPL13A,RPL11,HSPG2,RPS8,RFX5,ITPKB,RPS27A,RPL32,RPL37,HIGD2A,PNRC1,RPL10,RPL7A,EIF4EBP2,SESN3,RPS3,FAU,AKAP6,BEND6,RBM46,GRID2,CDYL,BANK1,UCHL1,RPL30,TRIM63,CTBP1,NLRX1,RPL26,RPL29,ITIH3,DAPL1,PBXIP1,CREBRF,RPL27A,GPX4,RPL13,FTH1,RPSA,ATOH8,ZEB2,RPS9,MCC,CXXC5,RPS21,RPS7,RPL38,TNFRSF10C,RNF213,RPL4,RPL15,CNIH2,A2M,NUPR1,RPLP2,JUN,RPS27,MAF,CIITA,HIST1H2AC,ZBTB20,BGN,ANXA2,RPS27L,SIGIRR,IFITM2,MUC1,NDUFA13,RPS23,FOXD3,LAMTOR4,COMMD6,SLC24A5,SERPINA5,RPL14,FHIT,PSAP,RPL37A,RPL12,RPS4X,RPL23A,CTNND1,ZNF536,RPL10A,RYR3,RPL39,HLA-DOA,MALRD1,RPS29,TAX1BP3,UBA52,CERS1,RPL41,RPS18,RPS28,HLA-B,RPL36A,TICAM2,H2AFJ,TXNIP"
GO:0009892,1,True,2e-05,2977,526,130,0.247,0.044,GO:0009892,BP,16,    negative regulation of metabolic process,2,"RPL18,MEF2C,RPS5,P2RX7,IGBP1,CAPN3,AVP,CST3,RENBP,GATA1,BMF,URI1,RPS16,TGFB1,RPS19,RPL28,RPL19,RPL34,CRYAB,RPS13,ING4,PHACTR1,RPS12,KAT2B,RPL24,RPS15,STAT1,RPL22,KDM5B,ID3,RPS25,RPL5,TWIST1,PFDN5,MXD4,RPS10,SOX4,RUNX2,SOX9,RPL23,C3,CITED1,PRDX5,MAP2K2,ATF4,RPL36,RPL27,NOTCH2,RPS15A,HTR2B,RPL35,TFAP2A,RPLP1,WARS,TP53,RPS11,RPL13A,RPL11,RPS8,RFX5,RPS27A,RPL32,RPL37,PNRC1,RPL10,RPL7A,EIF4EBP2,RPS3,FAU,BEND6,RBM46,CDYL,BANK1,UCHL1,RPL30,CTBP1,RPL26,RPL29,ITIH3,DAPL1,PBXIP1,RPL27A,RPL13,RPSA,ATOH8,ZEB2,RPS9,CXXC5,RPS21,RPS7,RPL38,TNFRSF10C,RPL4,RPL15,A2M,RPLP2,JUN,RPS27,MAF,CIITA,HIST1H2AC,ZBTB20,BGN,ANXA2,SIGIRR,MUC1,NDUFA13,RPS23,FOXD3,SLC24A5,SERPINA5,RPL14,FHIT,RPL37A,RPL12,RPS4X,RPL23A,ZNF536,RPL10A,RPL39,MALRD1,RPS29,UBA52,CERS1,RPL41,RPS18,RPS28,RPL36A,H2AFJ,TXNIP"
GO:0009056,1,True,1.1e-09,2435,526,125,0.238,0.051,GO:0009056,BP,16,   catabolic process,1,"AP2B1,VPS41,MAN2B2,GALC,VMP1,RPL18,TP53INP2,MOXD1,RPS5,P2RX7,CST3,MAP1LC3A,RENBP,HAGHL,BMF,RPS16,TGFB1,RPS19,FBXL15,RPL28,RPL19,ASPA,RPL34,RPS13,OAS2,RPS12,RPL24,RPS15,CHMP3,RPL22,CTSD,RPS25,RPL5,TWIST1,RPS10,SOX9,RPL23,CAPNS1,VPS13C,NEDD8,RPL36,CHMP2A,RPL27,LPIN1,RPS15A,HTR2B,RPL35,RPLP1,CYP1B1,TP53,RPS11,RPL13A,RPL11,HSPG2,RPS8,CTSK,PKLR,RPS27A,THNSL2,RPL32,RPL37,PNRC1,RPL10,RPL7A,RPS3,SIDT2,FAU,RBM46,UCHL1,RPL30,EEF1A1,RPL26,RPL29,DAPL1,PGAM2,CRYL1,TPP1,RPL27A,RPL13,RPSA,RNF187,TMEM150A,GABARAP,RPS9,RPS21,RPS7,RPL38,RNASEH2C,RNF213,RPL4,RPL15,RPLP2,RPS27,BGN,ANXA2,GPC6,NDUFA13,ZNRF1,RPS23,PLCD1,LAMTOR4,RPL14,FHIT,TECPR2,TOMM7,CLPSL2,PSAP,RPL37A,MAP1LC3C,RPL12,RPS4X,RPL23A,RPL10A,RPL39,CLPSL1,LRCOL1,RPS29,UBD,FIS1,UBA52,RPL41,RPS18,RPS28,TNFSF12,RPL36A"
