Term,es,nes,pval,sidak,fdr,geneset_size,leading_edge,term
Signal Transduction R-HSA-162582,-0.18223406194777278,-inf,0.0,0.0,0.0,222,"GNG5,SHB,LTBP3,SPRY1,MGLL,ITGA3,AURKB,PFN1,FOSL1,WIPF1,POLR2I,CCND1,YWHAG,ECE1,ABHD17C,BCAP31,CTNNBIP1,SMURF2,SPRY2,NEDD8,PSMA7,CDC20,UCN2,TRIB1,IER3,ARHGDIA,CSNK2B,WWTR1,DUSP6,ETV4,AP2S1,SH2B3,PTPN12,CDCA8,TFDP1,RASA3,VGF,SH3KBP1,EFHD2,SPRED2,PHC2,EGR3,EPHA2,CENPM,KHDRBS3,YWHAZ,MAPKAPK2,TGFA,SH3BP1,ARPC1A,TUBA1B,PSMB7,GSK3B,PLK1,DYNLL1,ZWINT,FGFRL1,FKBP1A,GNB1,PRC1,ITGB3,ARPC2,FURIN,ITPR3,BCL2L1,SHC1,CALM1,BIRC5,RHOC,ARF6,DUSP4,POLR2J,ACTN1,PPP1CA,DRAP1",Signal Transduction R-HSA-162582
Regulation Of RUNX2 Expression And Activity R-HSA-8939902,-0.6839877458490198,-2.7093006362354233,0.006742521316066341,0.9896769895374357,0.48446976635939126,9,"UBB,PSMB7,PSMD8,GSK3B,HIVEP3,PSMA7",Regulation Of RUNX2 Expression And Activity R-HSA-8939902
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,-0.6766327042835663,-2.703626767872106,0.006858728034575989,0.9904620192548458,0.48446976635939126,10,"FKBP1A,UBB,PSMB7,PSMD8,CALM1,PPIA,PSMA7",Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372
Nuclear Events Mediated By NFE2L2 R-HSA-9759194,-0.6796101615700351,-2.686073396449368,0.007229720544314144,0.9925908797972208,0.48446976635939126,9,"UBB,MAFG,PSMB7,PSMD8,GSK3B,PSMA7",Nuclear Events Mediated By NFE2L2 R-HSA-9759194
KEAP1-NFE2L2 Pathway R-HSA-9755511,-0.6623152917085432,-2.662213976922694,0.007762851280552319,0.9948469267962684,0.48446976635939126,11,"UBB,CSNK2B,MAFG,PSMB7,PSMD8,GSK3B,PSMA7",KEAP1-NFE2L2 Pathway R-HSA-9755511
Host Interactions Of HIV Factors R-HSA-162909,-0.5721997883338789,-2.6489380996600973,0.008074511941709384,0.9958328638649626,0.48446976635939126,17,"HMGA1,UBB,KPNB1,RANBP1,AP2S1,PSMB7,PSMD8,PPIA,RAN,AP1S1,PSMA7",Host Interactions Of HIV Factors R-HSA-162909
TCF Dependent Signaling In Response To WNT R-HSA-201681,-0.5734964823923573,-2.5550087338814644,0.010618513357479875,0.9992656299022181,0.48446976635939126,16,"UBB,LEF1,CSNK2B,YWHAZ,PSMB7,PSMD8,GSK3B,CTBP1,CTNNBIP1,SMURF2,PPP2CB,PSMA7",TCF Dependent Signaling In Response To WNT R-HSA-201681
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,-0.5877788661697079,-2.53663138624869,0.011192473505326594,0.9995039195563141,0.48446976635939126,15,"CDC20,UBB,AURKB,UBE2C,UBE2S,PSMB7,AURKA,PSMD8,PLK1,PSMA7",APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178
CLEC7A (Dectin-1) Signaling R-HSA-5607764,-0.6346680590523687,-2.479491219059706,0.013156996961063427,0.9998706719417949,0.48446976635939126,10,"UBB,UBE2M,ITPR3,PSMB7,PSMD8,CALM1,CDC34,PSMA7",CLEC7A (Dectin-1) Signaling R-HSA-5607764
Signaling By EGFR R-HSA-177929,-0.6231051386075405,-2.4528563686245644,0.014172691639198876,0.9999355280529101,0.48446976635939126,11,"SPRY1,TGFA,PTPN12,SHC1,SH3KBP1,SPRY2",Signaling By EGFR R-HSA-177929
