term.id,query.number,significant,p.value,term.size,query.size,overlap.size,recall,precision,term.id,domain,subgraph.number,term.name,relative.depth,intersection
GO:0006353,1,True,0.00268,72,1162,17,0.015,0.236,GO:0006353,BP,209,"   DNA-templated transcription, termination",1,"ZNRD1,POLR1A,PAPOLA,POLR2E,POLR2F,CD3EAP,SNRPB,SNRPF,SNRPG,POLR2K,CPSF7,SSU72,POLR3K,CSTF3,POLR2L,LSM10,SNRPE"
GO:0006220,1,True,0.0288,60,1162,14,0.012,0.233,GO:0006220,BP,281,   pyrimidine nucleotide metabolic process,1,"NME1-NME2,ERH,DHODH,SMUG1,TDG,UCK2,NEIL2,DTYMK,CTPS1,LCLAT1,TYMS,DCTPP1,UPP1,NME1"
GO:0006470,1,True,0.0271,321,1162,40,0.034,0.125,GO:0006470,BP,367,   protein dephosphorylation,1,"PTBP1,MTMR2,FKBP1A,PPM1F,PPP6R1,TIMM50,PALD1,PPP1R9B,YWHAE,PPP6R3,PTPMT1,PTP4A1,PPP2CA,PPM1G,PPP1R8,SET,DUSP1,DUSP4,CRY2,ARPP19,DUSP5,DUSP6,RPRD1A,CALM2,BOD1,UBASH3B,DUSP2,SSU72,DUSP7,NSMF,SDHAF2,CYCS,PPP1R14B,PTPN11,PTP4A2,PGP,PPP1CC,STYX,PPP1R11,PGAM5"
GO:0000188,1,True,0.004,26,1162,10,0.009,0.385,GO:0000188,BP,397,   inactivation of MAPK activity,1,"PPP2CA,DUSP1,DUSP4,GPS2,DUSP5,DUSP6,DUSP2,DUSP7,SPRED1,SPRED2"
GO:0009987,1,True,7.11e-05,15950,1162,1018,0.876,0.064,GO:0009987,BP,185,   cellular process,1,"POLDIP2,AK2,FKBP4,HCCS,UPF1,CIAPIN1,TNFRSF12A,GGCT,DBF4,IFRD1,ADIPOR2,CCDC124,RPUSD1,TSR3,DLEC1,CRY1,ST3GAL1,RPS20,UBE3C,STARD3NL,PRSS3,NME1-NME2,PTBP1,WIZ,EXTL3,ELOVL5,SLC25A39,TACC3,CCDC88C,BID,ATP2C1,ZDHHC6,GLRX2,STRAP,NCAPH2,TOMM34,SLAMF7,ARNTL2,IBSP,TMSB10,RPL26L1,METTL1,ARAP2,MCUR1,BCAR1,MRTO4,TRAPPC3,DCBLD2,PKP2,F7,SEC61A1,NDC1,MPC1,CS,MRPS24,SLC12A2,CNN2,AP3D1,YBX1,ELAVL1,ZNRD1,MTFR1,KLF6,RRP15,NAV3,CBFB,COASY,FTSJ1,POLR1A,PITX1,GAL,CLEC2D,RNF126,JMJD6,TCOF1,RAD18,RPL31,WDR1,TRIP13,DAZAP1,PDCD2,TFRC,HSD17B10,NFATC3,SCARB1,PTGS2,MRPS34,BCS1L,TIMM21,MARK3,ACTB,TPD52,PAG1,EXOSC5,UBE2K,GNB1,HOXA9,FGF20,SAR1A,SCGN,MOK,ATP8B1,BZW1,ME2,ITGAE,ZMPSTE24,STARD7,RAB10,SEH1L,CTTN,RAD54L,TMED2,HSD17B2,MTMR2,PTHLH,AURKA,KIF9,CRLS1,FKBP1A,DYNLL1,PXN,TRMT6,FXYD5,GANAB,BIRC5,PAPOLA,NUDC,SPG21,FLT3LG,ALKBH5,PITPNM3,ORC6,PPP2R3C,CLSPN,CDC6,EPB41L4B,SORBS1,FKBP5,ACOT7,SCD,PSMD8,SETD1A,TIMM13,POLR2E,RANBP1,PPM1F,ANKRD54,NHP2L1,POLR2F,DEPDC5,CENPM,TOMM22,ASCC2,MIEF1,SLC25A17,PHF5A,POLR3H,TRMU,CERK,GNPNAT1,PLEK2,PIGH,TIMM9,ERH,EIF5,ACIN1,PROCR,GINS1,SGK2,MYBL2,DNAJC5,PSMA7,MRGBP,FERMT1,NOP56,E2F1,LIPG,RBBP8,NAA10,SLC25A14,EMD,UBL4A,STK24,DHODH,ACD,USB1,COTL1,STUB1,CAPN15,HMOX2,EIF3J,OIP5,POP1,ERI1,TNFRSF10A,SNRNP70,CLASRP,PPP6R1,POP4,CCNE1,PDCD5,TIMM50,FBL,POLR2I,PRKD2,HNRNPUL1,MRPL4,CDC37,PDE4C,LSR,CDK6,DNAJC2,GRB10,CHCHD2,PDAP1,IMPDH1,LSM5,TSPAN13,CHCHD3,POLD2,BCL7B,YKT6,SEC61B,EDF1,SHB,EXOSC3,ATE1,PALD1,NPM3,BCCIP,DKK1,UBE2S,KRT23,RAD51C,KPNB1,PFN1,C1QBP,MLX,PPP1R9B,MRPL27,YWHAE,MMD,TMEM33,DCUN1D4,UBE2D3,GRPEL1,PPP6R3,CCND1,PRPF19,PANX1,EIF4G2,PTPMT1,NDUFS8,PSMD9,CORO1C,KRT18,MAGOHB,FOXM1,VDR,TBC1D30,MRPL51,TPI1,SRSF9,RWDD1,MTRF1L,SRSF3,MRPL18,CCNC,PTP4A1,GMNN,CCND3,SLC29A1,SEMA5A,SUB1,PPP2CA,H2AFY,TCERG1,SMC4,FAM162A,TUSC2,KLHL18,MAPKAPK3,CENPA,PPM1G,NDUFS7,PCGF1,HTRA2,GALNT3,POLE4,HSPE1,ODC1,SRSF7,SDC1,FARSB,ALMS1,DHCR24,CACYBP,MRPL37,MECR,WDR77,SRM,MFN2,SMG7,MRPS15,SDHB,EBNA1BP2,CDC20,ATP6V0B,DR1,F3,PPP1R8,CD3EAP,MREG,DCLRE1B,ABCG2,UCHL3,ELL2,ITGB1BP1,RAD23B,CTNNAL1,SET,PHF19,MAPKAP1,DLST,SLIRP,OGFRL1,HELLS,HOXB8,DUSP1,CD274,MTHFD1L,CENPL,TCP1,ENY2,UFM1,HSPH1,ALG5,ETF1,EGR1,SERP1,DUSP4,LRAT,PAPD5,IAPP,NAA50,CRY2,RPL21,GTF3A,CBX3,HOXA7,ARL4A,ZWINT,RNF11,ATF1,NR4A1,CDK2,C12ORF44,SMUG1,TUBA1B,NDUFAF4,RAP2C,AGO2,CKS2,NCOA5,SRSF6,CSE1L,SNRNP27,WRNIP1,RRP36,SNRPC,AARS2,RPS10,SPDEF,MEA1,CDKN1A,EEF1E1,LRRFIP1,EREG,SCGB2A1,MT2A,GOT2,BMP4,SLC25A19,GTF3C4,CLPP,PANK2,SNRPB,MKKS,MCM8,NCLN,MAX,XRCC3,PDCD2L,RBM42,HCST,BCL2L12,ELK1,HIVEP3,F2RL3,PKMYT1,CHTF18,EMC6,RASL11B,PAICS,DGCR8,SDF2L1,LIF,EMC4,FLNC,MRPS12,ARPP19,KIF1C,CDKN2D,SGOL1,LDLR,ELOF1,TOMM40,GTPBP3,NSUN5,DDA1,PAK4,TAF4,ADRM1,DNMT1,DKC1,TTLL9,RBM39,GINS2,TUBG1,PSME3,RPL27,PSMC3IP,UBE2D2,ANO1,TNS4,ZSCAN5A,THAP1,GCH1,DNAJB1,PPARG,MRPL35,RAN,CLUH,MYBBP1A,UBE2G1,H3F3B,EIF5A,GPS2,VPS4A,MTSS1L,ACY3,POMP,SLC41A1,SRRM1,CCDC59,MICAL2,RRAS2,COX16,ARF3,TIMM17A,RBM17,TIMM10,RFK,SYNCRIP,MAP3K7,CDK4,MAP7,SMPD2,REPS1,MPHOSPH6,RNASEH2B,SCEL,SPRY2,RAC1,CCM2,ABHD17C,SRSF1,TRA2B,SMPD4,IMP4,KLF4,FAM129B,MRPL50,DPM2,RABEPK,RPL35,ARPC5L,DSCC1,ALDH1B1,FOXP4,HMGA1,TCF19,ATAT1,MTCH1,PAQR5,RMDN3,ARHGAP29,CGREF1,LHCGR,PREB,STAMBPL1,DUSP5,NAB1,COX17,PPCDC,BBS7,SEPT11,INTS12,SLC39A8,PHLDA1,DUSP6,SNRPF,TDG,RITA1,GLTP,NABP2,ESYT1,RB1,RHOF,DENR,CUL4A,GTF2A2,POLG,CRTC3,KATNB1,GCSH,DEF8,COPS3,RPRD1A,WRAP53,ARHGDIA,WDR45B,MBD1,CBLN2,TXNL4A,SLC39A3,FEM1A,DUS3L,EPHA2,SH3BGRL3,ZNF593,PLK4,UCK2,PFDN2,MRPL24,ISG20L2,HDGF,RGS16,MRPL9,OAZ3,DTL,SMYD2,JTB,ARF1,CALM2,SNRPG,MALL,POLR2D,CDCA7,METTL21A,RQCD1,STAC,ATG3,ECE2,LYAR,ENOPH1,CISD2,CCNA2,NDUFS6,NKD2,SRD5A1,SKP2,SLC30A5,DDX46,C1QTNF2,NHP2,BOD1,ABT1,MMS22L,CDCA5,HMBOX1,DOCK5,MTDH,POLR2K,MAL2,NDUFB9,SIGMAR1,POLE3,SURF4,REXO4,PTGES2,NTMT1,MKI67,PDCD11,RGS10,BTBD10,LIN7C,IMMP1L,SSRP1,HYOU1,TMEM138,CPSF7,YTHDF1,MRPL49,HMGA2,MPP7,CWC15,MTMR12,DLAT,TIMM8B,PTS,EIF4E,CENPU,BAG3,POC5,HOMER1,GPD1L,SREK1IP1,SRP19,ACMSD,RASSF3,RBMS1,ASAP1,INO80C,ING1,UBP1,RPIA,CEBPG,DDAH1,DGKE,NUS1,UBASH3B,NEIL2,TCEB1,BTG3,SLFN13,DPH3,PLCL2,KLF10,AZIN1,GTF3C6,GOLGA7B,KCNMA1,USP16,TIAM1,PTDSS1,TATDN2,EXOG,LDLRAP1,MRPL17,DUSP2,EIF5B,TAGLN2,NBL1,DEDD,B4GALT3,CDC42SE2,MIS18A,ATP5G1,HK2,CHCHD6,CTBP1,ZYX,DFFA,ATAD3B,SSU72,VMA21,PDE9A,U2AF1,TRAPPC10,VAV2,MPZL3,CHTOP,SHC1,UBQLN4,DMKN,SRSF2,NAGS,SPC24,SENP3,POLR3K,SNRNP25,TBC1D24,ASRGL1,PEF1,USP1,FLVCR1,MRPL55,BOLA3,CCNYL1,PAQR3,ARPC2,CHCHD4,EIF5A2,RCHY1,TOPBP1,ZDHHC3,MEAF6,H2AFZ,SPRY1,DUSP7,NPY1R,NDUFAF2,SFXN1,PTTG1,FABP5,TMUB1,YWHAZ,SLC25A32,LETM2,FXN,STRBP,NOL6,STOML2,REEP3,SKA3,LRR1,ARF6,ENOX2,SDCCAG3,DDX21,NSMF,SPRED1,IDH3A,CENPN,CCDC68,CENPV,FAM96A,PLK1,GNGT2,SNRPD1,POP5,ATP5L,TPM4,GATAD2A,AXL,CHAF1A,TSR1,CDK2AP2,MIS12,SDHAF2,CTNNB1,FADD,THAP11,DTYMK,MLKL,RFWD3,RHOH,HR,FEN1,ING2,LETM1,UQCRFS1,MAP2K1,HNRNPH1,TBC1D10B,PRELID1,GPRIN1,ARL13B,SPRR1B,PCBP1,INO80E,FASN,CNBP,PUSL1,YWHAG,UBE2E3,NANP,ELP5,FOS,PA2G4,PFKFB3,SMAGP,CDCA4,LSM3,RNF139,HAS2,FPR2,NETO2,CANT1,PGAM1,MRPL36,ZNF562,LRRC8C,BCL2L1,RHNO1,CTPS1,RRM2,PPIH,CYCS,COPRS,POP7,GNB2,BANP,MRPL52,CFL1,RPL38,LCLAT1,SH3RF3,TRMT112,MRP63,ESRRA,CKS1B,VANGL1,TRIB1,PPP1R14B,NUDT4,EIF1AX,PLK3,GNG5,ZNHIT2,ATP2A2,SLC26A9,MRPL11,SLC29A2,BRMS1,HRAS,NDUFA11,KLC2,UBE2C,DDIT3,LSM1,EIF1AD,CLTB,CLCF1,DRAP1,LONRF3,P2RY2,FOSL1,RPS6KB2,AURKAIP1,TOMM5,MSRA,ETV4,SLC35A4,CSTF3,WSB2,GRIN1,TYMS,THAP4,POLE,PUS1,DEFB4B,TIMM22,HIC1,PPFIA3,RABEP2,ATOX1,POLR2L,HNRNPA0,UBE2N,IMP3,TMEM11,ZFAND2A,EXOSC4,AURKB,RRS1,CYC1,RAD23A,GADD45GIP1,PTPN11,DCTPP1,RCC1,PRKRA,OAZ2,MCFD2,PCGF5,HOXC10,MAP6D1,MRPL14,AEN,HIGD1A,OR52H1,PHLDA2,LSM10,ADO,COA4,MRPS11,SNRPE,NOP10,GLRX5,BRICD5,NGRN,RUVBL2,DDX41,PSMG1,SETD3,UPP1,CBX6,PTP4A2,NR2C2AP,UBE2F,PGP,IRAK1,SUMO3,SIVA1,MAFF,UBE2L3,DRG1,GNB1L,NDUFA13,KIF18B,SAPCD2,MARC1,PPP1CC,FCAR,INSIG1,NF2,ZFP91,BCR,MAPT,FGF3,CCK,MT1X,PTMA,MCRS1,NHS,DCUN1D3,HES4,H2AFX,SUMO2,TMEM120B,ENTPD8,GJB3,HMGB1,PPIA,WDR5,YRDC,IPO4,SPTSSB,MMP1,ADH1B,STRN3,PDLIM7,FLNA,HIST1H4C,ARRDC1,GTF2E2,MRPL21,HNRNPAB,RPF2,RPS26,ATAD3A,MEIG1,HIST1H2BK,TEAD4,ZNF71,ZNF121,MRPL42,MAK16,GRK6,ZNF544,SVIP,TFDP1,RPS6KL1,STYX,SPRED2,ZNF511,ARC,EIF1AY,MT-ND6,MT-ND2,CNOT7,PNP,ARHGAP11A,UBE2J1,PRMT6,CIPC,SMG5,CENPW,LSM2,PPP1R11,AKT1S1,MZT1,E2F4,PRR13,RNPS1,ATP10A,MLLT11,CHUK,SRA1,ALG3,PEX26,CKLF,PAM16,PPP3R1,FANCG,ANHX,POLR2J2,RPL41,STMND1,GPX1,RBM14,NME1,TMEM189,MIF,RPL36A,ARPC1A,MRPL20,STRC,MRPS6,ETV5,PGAM5,CHCHD10,SERPINE3,MPV17L2,APOPT1,HMBS,DUXA,MRPL12,RBM8A,RPL17,ZNF559-ZNF177,TAF9,PIP4K2B,PIGW,MYO19,MIR24-2"
GO:0051301,1,True,3.42e-06,591,1162,74,0.064,0.125,GO:0051301,BP,185,    cell division,2,"CCDC124,TACC3,BCAR1,YBX1,RAB10,SEH1L,AURKA,BIRC5,NUDC,ORC6,CDC6,RBBP8,OIP5,CCNE1,CDC37,CDK6,UBE2S,CCND1,CCND3,SMC4,CENPA,CDC20,ITGB1BP1,HELLS,PAPD5,ZWINT,CDK2,TUBA1B,CKS2,EREG,ARPP19,SGOL1,RAN,VPS4A,CDK4,SEPT11,RB1,KATNB1,TXNL4A,JTB,ARF1,CALM2,CCNA2,BOD1,CDCA5,HMGA2,USP16,MIS18A,SPC24,PTTG1,REEP3,SKA3,ARF6,SDCCAG3,CENPV,PLK1,CDK2AP2,MIS12,ING2,CDCA4,BCL2L1,CFL1,CKS1B,PLK3,UBE2C,AURKB,RCC1,KIF18B,SAPCD2,PPP1CC,FGF3,CENPW,ETV5,MYO19"
GO:0007049,1,True,1.4e-12,1766,1162,189,0.163,0.107,GO:0007049,BP,185,    cell cycle,2,"POLDIP2,UPF1,DBF4,CCDC124,CRY1,WIZ,TACC3,BID,NCAPH2,NDC1,TRIP13,PTGS2,ACTB,MOK,SEH1L,RAD54L,AURKA,DYNLL1,BIRC5,NUDC,FLT3LG,ORC6,CLSPN,CDC6,RANBP1,ERH,GINS1,MYBL2,E2F1,RBBP8,NAA10,EMD,STK24,OIP5,CCNE1,CDC37,CDK6,POLD2,BCCIP,UBE2S,RAD51C,KPNB1,YWHAE,CCND1,PRPF19,EIF4G2,KRT18,FOXM1,CCNC,PTP4A1,GMNN,CCND3,PPP2CA,H2AFY,SMC4,TUSC2,CENPA,PPM1G,HTRA2,POLE4,ALMS1,DHCR24,CDC20,DCLRE1B,HELLS,DUSP1,PAPD5,NAA50,CBX3,ZWINT,NR4A1,CDK2,CKS2,CDKN1A,EREG,BMP4,MCM8,MAX,XRCC3,PDCD2L,PKMYT1,CHTF18,LIF,ARPP19,CDKN2D,SGOL1,PAK4,GINS2,TUBG1,PSME3,PSMC3IP,THAP1,RAN,MYBBP1A,VPS4A,CDK4,RNASEH2B,SPRY2,KLF4,DSCC1,CGREF1,SEPT11,PHLDA1,NABP2,RB1,CUL4A,KATNB1,TXNL4A,PLK4,DTL,JTB,ARF1,CALM2,RQCD1,CCNA2,SKP2,BOD1,CDCA5,POLE3,NTMT1,MKI67,HMGA2,EIF4E,POC5,ING1,BTG3,USP16,MIS18A,CTBP1,SRSF2,SPC24,CCNYL1,TOPBP1,SPRY1,PTTG1,REEP3,SKA3,ARF6,SDCCAG3,CENPV,PLK1,CHAF1A,CDK2AP2,MIS12,CTNNB1,RFWD3,FEN1,ING2,MAP2K1,YWHAG,PA2G4,BCL2L1,RHNO1,RRM2,BANP,CFL1,CKS1B,PLK3,HRAS,UBE2C,DDIT3,FOSL1,AURKAIP1,TYMS,POLE,AURKB,RRS1,RAD23A,GADD45GIP1,PTPN11,RCC1,LSM10,UBE2L3,KIF18B,SAPCD2,PPP1CC,NF2,BCR,DCUN1D3,H2AFX,FLNA,TFDP1,CNOT7,CENPW,MZT1,E2F4,RBM14,MIF,MYO19"
GO:0022402,1,True,9.93e-09,1249,1162,136,0.117,0.109,GO:0022402,BP,185,     cell cycle process,3,"UPF1,DBF4,WIZ,TACC3,BID,NCAPH2,NDC1,TRIP13,SEH1L,AURKA,DYNLL1,BIRC5,ORC6,CLSPN,CDC6,RANBP1,GINS1,MYBL2,E2F1,RBBP8,NAA10,EMD,CCNE1,CDK6,POLD2,BCCIP,UBE2S,RAD51C,KPNB1,YWHAE,CCND1,EIF4G2,FOXM1,GMNN,H2AFY,SMC4,CENPA,PPM1G,POLE4,ALMS1,DHCR24,CDC20,DCLRE1B,DUSP1,NAA50,CBX3,ZWINT,CDK2,CKS2,CDKN1A,EREG,BMP4,MCM8,MAX,XRCC3,PKMYT1,LIF,ARPP19,CDKN2D,SGOL1,GINS2,TUBG1,PSME3,PSMC3IP,RAN,MYBBP1A,VPS4A,CDK4,RNASEH2B,SPRY2,KLF4,DSCC1,CGREF1,PHLDA1,NABP2,RB1,CUL4A,PLK4,DTL,JTB,ARF1,CALM2,RQCD1,CCNA2,SKP2,BOD1,CDCA5,POLE3,NTMT1,MKI67,HMGA2,EIF4E,TOPBP1,SPRY1,PTTG1,REEP3,SDCCAG3,CENPV,PLK1,CDK2AP2,MIS12,CTNNB1,RFWD3,FEN1,ING2,MAP2K1,YWHAG,PA2G4,BCL2L1,RHNO1,RRM2,CFL1,PLK3,HRAS,UBE2C,DDIT3,AURKAIP1,TYMS,POLE,AURKB,RRS1,GADD45GIP1,RCC1,LSM10,UBE2L3,KIF18B,SAPCD2,DCUN1D3,FLNA,TFDP1,CNOT7,MZT1,E2F4,RBM14,MIF,MYO19"
GO:0044770,1,True,2.53e-06,553,1162,71,0.061,0.128,GO:0044770,BP,185,      cell cycle phase transition,4,"UPF1,DBF4,TACC3,BID,TRIP13,AURKA,DYNLL1,ORC6,CLSPN,CDC6,RANBP1,E2F1,RBBP8,CCNE1,CDK6,UBE2S,RAD51C,YWHAE,CCND1,FOXM1,GMNN,H2AFY,POLE4,ALMS1,DUSP1,CDK2,CKS2,CDKN1A,MCM8,MAX,XRCC3,PKMYT1,ARPP19,CDKN2D,TUBG1,PSME3,VPS4A,CDK4,RNASEH2B,KLF4,PHLDA1,RB1,CUL4A,PLK4,DTL,CALM2,RQCD1,CCNA2,SKP2,CDCA5,POLE3,HMGA2,EIF4E,TOPBP1,PLK1,CDK2AP2,RFWD3,YWHAG,RRM2,PLK3,UBE2C,TYMS,POLE,AURKB,RCC1,LSM10,UBE2L3,DCUN1D3,TFDP1,CNOT7,E2F4"
GO:0044843,1,True,0.00111,283,1162,40,0.034,0.141,GO:0044843,BP,185,       cell cycle G1/S phase transition,5,"DBF4,BID,AURKA,ORC6,CDC6,RANBP1,E2F1,RBBP8,CCNE1,CDK6,CCND1,GMNN,POLE4,CDK2,CDKN1A,MCM8,MAX,CDKN2D,PSME3,CDK4,KLF4,RB1,CUL4A,RQCD1,CCNA2,SKP2,POLE3,EIF4E,CDK2AP2,RFWD3,RRM2,PLK3,TYMS,POLE,RCC1,LSM10,DCUN1D3,TFDP1,CNOT7,E2F4"
