,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
11,REAC,REAC:R-HSA-6798695,Neutrophil degranulation,3.4618826431594203e-26,True,Neutrophil degranulation,476,485,84,10916,0.1731958762886598,0.17647058823529413,query_1,['REAC:R-HSA-168249']
20,REAC,REAC:R-HSA-168249,Innate Immune System,5.6262603324091984e-18,True,Innate Immune System,1099,485,118,10916,0.24329896907216494,0.10737033666969972,query_1,['REAC:R-HSA-168256']
51,REAC,REAC:R-HSA-168256,Immune System,5.40225190255606e-13,True,Immune System,2079,485,165,10916,0.3402061855670103,0.07936507936507936,query_1,['REAC:0000000']
331,REAC,REAC:R-HSA-9755511,KEAP1-NFE2L2 pathway,0.00121114338775736,True,KEAP1-NFE2L2 pathway,124,485,19,10916,0.03917525773195876,0.1532258064516129,query_1,['REAC:R-HSA-9711123']
360,REAC,REAC:R-HSA-9759194,Nuclear events mediated by NFE2L2,0.002195336756033482,True,Nuclear events mediated by NFE2L2,95,485,16,10916,0.032989690721649485,0.16842105263157894,query_1,['REAC:R-HSA-9755511']
410,REAC,REAC:R-HSA-1236975,Antigen processing-Cross presentation,0.00826450159266862,True,Antigen processing-Cross presentation,105,485,16,10916,0.032989690721649485,0.1523809523809524,query_1,['REAC:R-HSA-983169']
427,REAC,REAC:R-HSA-1222556,ROS and RNS production in phagocytes,0.011448078602654892,True,ROS and RNS production in phagocytes,36,485,9,10916,0.018556701030927835,0.25,query_1,['REAC:R-HSA-168249']
464,REAC,REAC:R-HSA-917937,Iron uptake and transport,0.0194805937220493,True,Iron uptake and transport,57,485,11,10916,0.02268041237113402,0.19298245614035087,query_1,['REAC:R-HSA-382551']
526,REAC,REAC:R-HSA-9711123,Cellular response to chemical stress,0.0355349960463912,True,Cellular response to chemical stress,211,485,23,10916,0.04742268041237113,0.10900473933649289,query_1,['REAC:R-HSA-2262752']
536,REAC,REAC:R-HSA-202403,TCR signaling,0.04434343077007709,True,TCR signaling,120,485,16,10916,0.032989690721649485,0.13333333333333333,query_1,['REAC:R-HSA-1280218']
